Title,Channel,View,Like,Dislike,Comment,Published,UploadYear,Category
Chino y Nacho - Andas En Mi Cabeza ft. Daddy Yankee (Video Oficial),ChinoNachoVEVO,1597715212,"40,80,945","3,04,397","1,73,393",20-04-2016,2016,Musical
Daddy Yankee - Shaky Shaky (Video Oficial),Daddy Yankee,1564088967,"51,54,164","6,00,455","2,42,279",15-07-2016,2016,Musical
22. Hasta el Amanecer - Nicky Jam | Video Oficial,NickyJamTV,1484986172,"42,78,354","2,68,764","1,66,677",15-01-2016,2016,Musical
Danny Ocean - Me Rehúso (Official Audio),Danny Ocean,1482038812,"46,47,142","3,25,873","1,67,038",18-09-2016,2016,Musical
Coldplay - Hymn For The Weekend (Official Video),Coldplay,1479699771,"93,30,509","2,51,712","3,12,284",29-01-2016,2016,Musical
"Carlos Vives, Shakira - La Bicicleta",CarlosVivesVEVO,1447393437,"38,19,697","3,85,056","1,63,422",08-07-2016,2016,Musical
"CAN'T STOP THE FEELING! (From DreamWorks Animation's ""Trolls"") (Official Video)",justintimberlakeVEVO,1415369113,"54,89,112","3,47,029","1,76,224",17-05-2016,2016,Musical
Bruno Mars - 24K Magic (Official Music Video),Bruno Mars,1404985298,"69,46,551","3,79,951","2,38,266",07-10-2016,2016,Musical
Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),MikePosnerVEVO,1370878324,"67,25,063","3,00,192","2,20,889",27-02-2016,2016,Musical
Rag'n'Bone Man - Human (Official Video),RagnBoneManVEVO,1309577919,"86,96,099","2,58,015","1,98,833",21-07-2016,2016,Musical
Hindi : Nani Teri Morni Ko Mor Le Gaye (नानी तेरी मोरनी),Jingle Toons,1302198655,"44,75,665","28,72,922","32,960",11-03-2016,2016,Non-Musical
James Arthur - Say You Won't Let Go,JamesAVEVO,1297838589,"69,39,951","1,75,392","1,68,940",09-09-2016,2016,Musical
Biper y sus Amigos - El Patito Juan,Biper y sus Amigos,1252881549,NULL,NULL,5,04-11-2016,2016,Non-Musical
Maluma - El Perdedor (Official Video),MalumaVEVO,1228289007,"29,44,560","1,99,846","1,12,990",22-04-2016,2016,Musical
BLACKPINK - '붐바야'(BOOMBAYAH) M/V,BLACKPINK,1210418053,"1,20,02,357","5,73,138","10,37,859",08-08-2016,2016,Musical
�� Five Little Ducks 🦆 THE BEST Song for Children | LooLoo Kids,LooLoo Kids - Nursery Rhymes and Children's Songs,1206221895,"42,43,047","37,66,619","2,367",12-10-2016,2016,Non-Musical
Rihanna - Work (Explicit) ft. Drake,RihannaVEVO,1197877303,"70,63,700","6,04,282","3,89,661",22-02-2016,2016,Musical
Alan Walker - Alone,Alan Walker,1184493544,"96,95,568","2,14,881","4,09,890",02-12-2016,2016,Musical
MC Kevinho - Olha a Explosão (KondZilla) | Official Music Video,Canal KondZilla,1146439485,"77,97,972","5,50,479","2,75,887",26-12-2016,2016,Musical
Mile Ho Tum - Reprise Version | Neha Kakkar | Tony Kakkar | Fever,Zee Music Company,1136582918,"64,41,851","6,47,562","3,69,610",27-07-2016,2016,Musical
Arcangel x Bad Bunny X Dj Luian X Mambo Kingz - Tu No Vive Asi [Video oficial],Hear This Music,1120612460,"50,09,874","3,90,596","2,22,347",02-10-2016,2016,Musical
Migos - Bad and Boujee ft Lil Uzi Vert [Official Video],Migos ATL,1067305584,"64,15,094","4,35,901","2,45,094",31-10-2016,2016,Musical
Zion & Lennox ft. J Balvin - Otra Vez (Video Oficial),Zion & Lennox,1065860691,"24,87,349","1,50,558","73,841",05-08-2016,2016,Musical
ZAYN - PILLOWTALK (Official Music Video),ZaynVEVO,1062303955,"76,84,525","5,13,139","4,72,728",29-01-2016,2016,Musical
La canción del baño | Canciones infantiles | LittleBabyBum,Little Baby Bum en Español,1052460684,"19,13,285","11,59,466",NULL,27-01-2016,2016,Non-Musical
Maluma - Sin Contrato (Official Video),MalumaVEVO,1027794990,"20,55,311","1,65,167","70,358",26-08-2016,2016,Musical
Enrique Iglesias - DUELE EL CORAZON ft. Wisin,EnriqueIglesiasVEVO,1020394557,"36,20,477","2,05,270","1,07,760",13-05-2016,2016,Musical
아기상어 체조 | Baby Shark Dance | 상어가족 체조 | 핑크퐁 체조 | 핑크퐁! 인기동요,핑크퐁 (인기 동요・동화),1014524902,"35,19,033","23,19,309",772,03-06-2016,2016,Non-Musical
Major Lazer - Cold Water (feat. Justin Bieber & MØ) (Official Lyric Video),Major Lazer Official,1007840253,"44,64,914","1,71,285","2,29,865",22-07-2016,2016,Musical
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,7408240789,"4,46,42,888","50,64,200","40,88,965",13-01-2017,2017,Musical
Ed Sheeran - Shape of You (Official Music Video),Ed Sheeran,5355330231,"2,71,14,351","13,56,996","10,83,549",30-01-2017,2017,Musical
"J Balvin, Willy William - Mi Gente (Official Video)",jbalvinVEVO,2932624016,"1,56,54,319","9,32,479","5,17,544",30-06-2017,2017,Musical
Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,2874488140,"1,55,34,626","5,65,868","4,40,128",09-11-2017,2017,Musical
Dua Lipa - New Rules (Official Music Video),Dua Lipa,2459271786,"1,44,16,718","6,33,214","3,65,196",07-07-2017,2017,Musical
Natti Natasha ❌ Ozuna - Criminal [Official Video],Natti Natasha,2243970775,"71,01,937","7,35,040","2,58,083",18-08-2017,2017,Musical
"Luis Fonsi, Demi Lovato - Échame La Culpa (Video Oficial)",LuisFonsiVEVO,2127157792,"93,04,867","6,93,570","3,37,770",17-11-2017,2017,Musical
Hush a Bye Baby | Lullaby for Babies | Infobells,infobells,2102440736,"56,69,301","38,98,425","35,471",16-09-2017,2017,Musical
"Becky G, Bad Bunny - Mayores (Official Video)",BeckyGVEVO,2007348097,"67,42,336","7,30,300","3,15,149",14-07-2017,2017,Musical
The Chainsmokers & Coldplay - Something Just Like This (Lyric),ChainsmokersVEVO,1965618188,"91,08,384","3,41,776","2,60,805",22-02-2017,2017,Musical
Imagine Dragons - Believer,ImagineDragonsVEVO,1934472417,"1,69,58,734","4,83,399","5,69,921",07-03-2017,2017,Musical
Bruno Mars - That’s What I Like (Official Music Video),Bruno Mars,1881498109,"1,09,24,405","5,11,251","3,63,477",02-03-2017,2017,Musical
UPA CAVALINHO - Galinha Pintadinha 4 - OFICIAL,Galinha Pintadinha,1799713118,"52,67,696","25,71,375","33,235",07-07-2017,2017,
Camila Cabello - Havana (Audio) ft. Young Thug,CamilaCabelloVEVO,1799354991,"96,48,960","4,80,350","4,40,370",03-08-2017,2017,
Baby Shark | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,1796303022,"41,29,255","28,74,353",118,21-11-2017,2017,
Talking Angela - Summer Fun at the Beach with Talking Tom (Shorts Combo),Talking Angela,1716332219,"46,86,358","23,07,077","36,735",30-06-2017,2017,
Maluma - Felices los 4 (Official Video),MalumaVEVO,1708092725,"59,02,154","6,36,265","2,53,164",21-04-2017,2017,
Imagine Dragons - Thunder,ImagineDragonsVEVO,1683662157,"1,01,96,087","4,72,721","3,54,012",03-05-2017,2017,
ZAYN - Dusk Till Dawn (Official Video) ft. Sia,ZaynVEVO,1646195000,"1,14,97,611","3,17,822","3,68,124",07-09-2017,2017,
Piso 21 - Déjala Que Vuelva (feat. Manuel Turizo) [Video Oficial],Piso 21,1644458681,"32,71,398","2,58,350","68,874",20-10-2017,2017,
MC Fioti - Bum Bum Tam Tam (KondZilla) | Official Music Video,Canal KondZilla,1641353943,"1,27,77,279","8,42,956","4,00,059",08-03-2017,2017,
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign) [Official Music Video],Jason Derulo,1611739665,"86,82,042","7,37,873","2,53,635",17-03-2017,2017,
"DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",DJKhaledVEVO,1546576638,"92,03,006","7,17,654","3,88,999",28-04-2017,2017,
Maluma - Corazón (Official Video) ft. Nego do Borel,MalumaVEVO,1539620254,"52,23,895","5,14,213","2,13,113",08-12-2017,2017,
Una Lady Como Tú - MTZ Manuel Turizo | Video Oficial,MTZ Manuel Turizo,1489282622,"46,98,615","3,09,428","1,52,101",16-03-2017,2017,
Ozuna - Se Preparó (Video Oficial) | Odisea,Ozuna,1443903994,"53,03,625","3,97,160","1,86,268",10-08-2017,2017,
"Carlos Vives, Sebastián Yatra - Robarte un Beso (Official Video)",CarlosVivesVEVO,1434530787,"39,20,311","2,69,289","1,10,844",28-07-2017,2017,
Wisin - Escápate Conmigo (Official Video) ft. Ozuna,wisinofficalVEVO,1366750852,"36,14,299","3,09,763","91,760",31-03-2017,2017,
El Amante - Nicky Jam (Video Oficial) (Álbum Fénix),NickyJamTV,1354609602,"38,01,206","3,43,467","1,21,199",16-01-2017,2017,
Post Malone - Congratulations ft. Quavo,PostMaloneVEVO,1354205271,"81,17,213","3,99,265","2,65,786",23-01-2017,2017,
"Enrique Iglesias - SUBEME LA RADIO (Official Video) ft. Descemer Bueno, Zion & Lennox",EnriqueIglesiasVEVO,1340611235,"55,63,503","3,98,726","1,59,294",24-02-2017,2017,
Johny Johny Yes Papa Nursery Rhyme | Part 3 - 3D Animation Rhymes & Songs for Children,CVS 3D Rhymes & Kids Songs,1338347229,"23,73,482","14,35,504","27,502",26-01-2017,2017,
"""No No"" Bedtime Song | CoComelon Nursery Rhymes & Kids Songs",Cocomelon - Nursery Rhymes,1333188221,"33,86,440","23,95,962","19,283",12-07-2017,2017,
BTS (방탄소년단) 'DNA' Official MV,HYBE LABELS,1293507215,"1,95,41,506","9,99,370","64,03,951",18-09-2017,2017,
Sam Smith - Too Good At Goodbyes (Official Video),SamSmithVEVO,1269581451,"59,79,591","2,45,378","1,30,697",18-09-2017,2017,
"Chris Jeday - Ahora Dice (Official Video) ft. J. Balvin, Ozuna, Arcángel",ChrisJedayVEVO,1265196399,"42,93,713","2,93,747","1,54,716",20-03-2017,2017,
Charlie Puth - Attention [Official Video],Charlie Puth,1259990671,"87,40,866","2,29,006","2,28,775",24-04-2017,2017,
Taylor Swift - Look What You Made Me Do,TaylorSwiftVEVO,1255143525,"1,09,31,047","13,24,420","7,48,074",28-08-2017,2017,
French Montana - Unforgettable ft. Swae Lee,FrenchMontanaVEVO,1247875349,"58,92,194","3,04,640","1,47,352",14-04-2017,2017,
Twinkle Twinkle Little Star | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,1237870283,"36,79,986","27,87,388",66,06-12-2017,2017,
Johny Johny Si Papa | Johny yes Papa in Spanish | Canciones Infantiles,FAMA JAMA,1222337257,"35,80,264","20,25,799",NULL,28-06-2017,2017,
El Baile del Sapito - Las Canciones Dela Granja - Canciones infantiles dela granja,Cartoon Studio,1177509453,"29,20,373","17,48,350","16,448",11-05-2017,2017,
Katy Perry - Bon Appétit (Official) ft. Migos,KatyPerryVEVO,1125247217,"66,12,114","11,15,846","3,64,555",12-05-2017,2017,
Lil Pump - Gucci Gang [Official Music Video],Lil pump,1102993869,"1,14,45,402","17,27,948","7,79,222",23-10-2017,2017,
Christian Nodal - Adiós Amor (Video Oficial),ChristianNodalVEVO,1087502159,"33,31,351","2,84,963","1,12,653",13-01-2017,2017,
Clean Bandit - Symphony (feat. Zara Larsson) [Official Video],Clean Bandit,1070570278,"62,85,207","2,30,220","1,80,360",17-03-2017,2017,
Guru Randhawa: High Rated Gabru Official Song | DirectorGifty | Bhushan Kumar | T-Series,T-Series,1065636634,"51,27,382","5,03,089","4,19,406",04-07-2017,2017,
Mausam Hua Garam | Hindi Rhymes for Children | Infobells,Infobells - Hindi,1044368614,"27,62,403","21,35,570","2,401",14-04-2017,2017,
BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V,BLACKPINK,1031491922,"1,01,69,345","4,08,993","16,50,235",22-06-2017,2017,
"DJ Khaled - Wild Thoughts (Official Video) ft. Rihanna, Bryson Tiller",DJKhaledVEVO,1029522049,"53,20,360","3,30,937","1,49,148",16-06-2017,2017,
Shawn Mendes - There's Nothing Holdin' Me Back,ShawnMendesVEVO,1000665207,7100000,165000,201000,21-06-2017,2017,
Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],Bebe Rexha,1000377457,"44,99,651","2,52,339","1,02,793",23-10-2017,2017,
Bath Song | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,4176950923,"1,05,30,313","74,60,252","15,532",02-05-2018,2018,
Учим цвета-Разноцветные яйца на ферме Miroshka Tv,Мирошка ТВ,4170670671,"1,17,92,462","77,87,049",NULL,27-02-2018,2018,
El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Music],Ultra Music,3399557400,"1,34,42,695","45,68,581","6,27,095",05-04-2018,2018,
Wheels on the Bus | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,3089518346,"89,44,794","59,65,521","31,281",24-05-2018,2018,
Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),Maroon5VEVO,3050022069,"1,89,18,037","7,74,861","6,56,300",31-05-2018,2018,
Yes Yes Vegetables Song | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,2680012658,"59,31,363","38,44,120","15,417",10-08-2018,2018,
Baa Baa Black Sheep | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,2668299872,"63,67,379","47,40,765","7,201",25-06-2018,2018,
हम्प्टी ट्रैन और उसके फल दोस्तों से मिलिए | Humpty the train on a fruits ride | Kiddiestv Hindi,Kiddiestv Hindi,2583838009,"73,68,915","55,76,068","7,524",26-01-2018,2018,
लकड़ी की काठी | Lakdi ki kathi | Popular Hindi Children Songs | Animated Songs by JingleToons,Jingle Toons,2448449183,"82,61,857","61,44,448","21,843",14-06-2018,2018,
"Pedro Capó, Farruko - Calma (Remix - Official Video)",capoVEVO,2282123776,"1,09,53,753","8,52,678","3,45,255",05-10-2018,2018,
"Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna - Te Bote Remix (Video Oficial)",Flow La Movie,2264189639,"95,14,539","9,03,799","4,84,254",11-04-2018,2018,
Baby Shark | Kids Songs and Nursery Rhymes | Animal Songs from Bounce Patrol,Bounce Patrol - Kids Songs,2189298027,"58,32,487","38,65,589","31,400",12-05-2018,2018,
"DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B (Official Music Video)",DJSnakeVEVO,2122191513,"1,60,74,631","9,47,221","5,37,461",10-10-2018,2018,
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,1998115024,"89,84,399","6,14,276","2,62,348",02-03-2018,2018,
"Becky G, Natti Natasha - Sin Pijama (Official Video)",BeckyGVEVO,1913991666,"76,09,382","7,69,978","3,57,814",20-04-2018,2018,
Daddy Yankee - Dura (Video Oficial),Daddy Yankee,1751722927,"78,33,672","6,76,004","2,80,260",18-01-2018,2018,
Yes Yes Playground Song | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,1622264721,"34,20,727","24,38,282","11,927",23-10-2018,2018,
BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ M/V,BLACKPINK,1616477777,"1,80,86,479","10,13,050","25,10,232",15-06-2018,2018,
Ozuna x Romeo Santos - El Farsante (Remix) (Video Oficial),Ozuna,1612881390,"48,70,293","4,79,968","1,62,908",30-01-2018,2018,
Sick Song | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,1576072617,"32,19,587","20,96,722","8,854",20-07-2018,2018,
"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)",PostMaloneVEVO,1496009486,"1,03,01,455","3,63,411","3,00,370",18-10-2018,2018,
Bath Song + More Nursery Rhymes & Kids Songs - CoComelon,Cocomelon - Nursery Rhymes,1455173047,"45,74,419","30,84,856","18,556",04-06-2018,2018,
Liova and superhero play sports and want to be strong with toy wheels,Liova and Toys,1413019780,"38,15,236","26,53,378",NULL,06-02-2018,2018,
Deck the Halls - Christmas Song for Kids | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,1401667225,"31,31,928","20,63,888","5,026",11-12-2018,2018,
"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",Cardi B,1362219837,"91,84,699","5,47,877","3,18,586",29-05-2018,2018,
Yes Yes Vegetables Song + More Nursery Rhymes & Kids Songs - CoComelon,Cocomelon - Nursery Rhymes,1323667414,"48,90,095","32,45,243","12,978",07-09-2018,2018,
Wheels on the Bus + More Nursery Rhymes & Kids Songs - CoComelon,Cocomelon - Nursery Rhymes,1314892314,"39,19,720","26,82,078","8,785",28-06-2018,2018,
Drake - God's Plan,DrakeVEVO,1314806561,"1,36,05,218","4,82,762","6,07,804",17-02-2018,2018,
"Laung Laachi Title Song Mannat Noor | Ammy Virk, Neeru Bajwa,Amberdeep | Latest Punjabi Movie 2018",T-Series Apna Punjab,1306655543,"50,44,485","7,36,808","2,61,063",21-02-2018,2018,
Los Ángeles Azules - Nunca Es Suficiente ft. Natalia Lafourcade (Live),LosAngelesAzulesVEVO,1293091230,"35,22,128","3,61,174","1,49,942",20-04-2018,2018,
"Thalia, Natti Natasha - No Me Acuerdo (Official Video)",ThaliaVEVO,1257909810,"40,27,742","4,57,151","2,39,220",01-06-2018,2018,
BEBE - 6ix9ine Ft. Anuel AA (Prod. By Ronny J) (Official Music Video),Tekashi 6ix9ine,1255729252,"73,71,450","8,72,091","4,73,562",31-08-2018,2018,
Esmanın Sihirli İçecekleri,Family GamesTV,1253636773,NULL,NULL,NULL,17-03-2018,2018,
أغنية هالصيصان شو حلوين 2018,Katakit Baby TV,1244186440,"52,93,206","25,03,959","31,621",05-01-2018,2018,
"Billie Eilish, Khalid - lovely",BillieEilishVEVO,1243483793,"1,81,27,577","2,59,471","4,84,425",26-04-2018,2018,
Diana and her Barbie car - Camping adventure,✿ Kids Diana Show,1207655434,"36,61,245","20,72,281",NULL,03-10-2018,2018,
Prenses Esmanın Sihirli Balonları,Family GamesTV,1196233449,NULL,NULL,NULL,03-08-2018,2018,
BAD BUNNY x DRAKE - MÍA (Video Oficial),Bad Bunny,1191744980,"66,11,265","3,47,799","2,00,267",11-10-2018,2018,
Tyga - Taste (Official Video) ft. Offset,TygaVEVO,1188309051,"60,93,008","3,37,035","1,28,275",16-05-2018,2018,
Old MacDonald | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,1163368609,"41,70,495","32,50,651","2,703",18-04-2018,2018,
Learn colors with Balloons ! Kids and daddy have fun playtime with color song !,Ya - Alisa,1162372775,NULL,NULL,NULL,22-01-2018,2018,
"Alex Rose ft. Cazzu, Lenny Tavarez, Lyanno & Rauw Alejandro - Toda (Remix) [Video Oficial]",Alex Rose,1152431068,"35,96,501","2,15,548","79,139",01-06-2018,2018,
"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)",LadyGagaVEVO,1133585737,"65,67,803","2,15,509","1,83,064",27-09-2018,2018,
Yes Yes Bedtime Song | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,1127467600,"28,65,359","21,78,341","1,956",18-09-2018,2018,
XXXTENTACION - SAD!,XXXTENTACION,1067629691,"1,18,42,821","2,18,456","12,76,651",02-03-2018,2018,
"SIMMBA: Aankh Marey Lyrical | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi, Mika Singh,Neha,Kumar S",T-Series,1067160571,"27,78,235","9,29,628","78,613",11-12-2018,2018,
"DILBAR Lyrical | Satyameva Jayate |John Abraham, Nora Fatehi,Tanishk B, Neha Kakkar,Dhvani, Ikka",T-Series,1058725155,"39,95,047","5,61,629","1,74,022",09-07-2018,2018,
Balloon Boat Race | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,1039739066,"37,33,081","27,64,791","4,966",13-03-2018,2018,
Ariana Grande - no tears left to cry (Official Video),ArianaGrandeVevo,1021508884,"74,67,630","3,23,948","4,41,570",20-04-2018,2018,
Halloween Baby Shark | Kids Songs and Nursery Rhymes | Halloween Songs from Bounce Patrol,Bounce Patrol - Kids Songs,1016885881,"19,27,369","13,90,661","12,703",13-10-2018,2018,
Vaina Loca - Ozuna x Manuel Turizo (Video Oficial),Ozuna,1012951431,"34,33,945","2,21,502","92,963",28-06-2018,2018,
Swimming Song + More Nursery Rhymes & Kids Songs - CoComelon,Cocomelon - Nursery Rhymes,1007737088,"29,32,147","19,50,631","5,750",26-10-2018,2018,
"Crushing Crunchy & Soft Things by Car! - Floral Foam, Squishy, Tide Pods and More!",HelloMaphie,1003144088,"22,33,349","11,34,718","68,225",11-11-2018,2018,
Daddy Yankee & Snow - Con Calma (Video Oficial),Daddy Yankee,2296789551,"1,10,94,401","8,34,993","3,70,938",24-01-2019,2019,
"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho",RosaliaVEVO,1819019826,"80,62,418","7,84,847","2,77,105",28-03-2019,2019,
"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)",JhayCortezVEVO,1497651303,"45,68,066","2,84,664","96,294",17-05-2019,2019,
Beach Song + More Nursery Rhymes & Kids Songs - CoComelon,Cocomelon - Nursery Rhymes,1357124148,"44,46,845","28,84,669","8,331",02-08-2019,2019,
CHOTU KE GOLGAPPE | छोटू के गोलगप्पे | Khandesh Hindi Comedy | Chotu Comedy Video,KHANDESHI MOVIES,1328525586,"43,90,444","17,52,847","71,307",27-01-2019,2019,
BLACKPINK - 'Kill This Love' M/V,BLACKPINK,1326382942,"1,96,28,970","11,77,286","23,74,882",04-04-2019,2019,
Diana - LIKE IT - Kids Song (Official Video),✿ Kids Diana Show,1309937634,"44,80,154","17,43,650",NULL,18-01-2019,2019,
BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV,HYBE LABELS,1273186869,"2,30,07,110","12,42,423","61,91,963",12-04-2019,2019,
"Shawn Mendes, Camila Cabello - Señorita",ShawnMendesVEVO,1259515941,"1,77,25,662","5,34,486","6,34,125",21-06-2019,2019,
"Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil D | Bhushan Kumar | Radhika Rao, Vinay Sapru",T-Series,1223947143,"97,85,889","7,92,313","3,17,455",06-04-2019,2019,
"Maari 2 - Rowdy Baby (Video Song) | Dhanush, Sai Pallavi | Yuvan Shankar Raja | Balaji Mohan",Wunderbar Studios,1174139234,"49,22,221","7,83,983","2,59,000",02-01-2019,2019,
"Anuel AA, KAROL G - Secreto",AnuelVEVO,1167706851,"60,13,213","4,17,800","2,45,532",15-01-2019,2019,
Billie Eilish - bad guy,BillieEilishVEVO,1105362075,"1,64,24,185","10,51,678","8,35,129",29-03-2019,2019,
The Boo Boo Song | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,1061619035,"28,34,682","18,99,186","6,224",09-04-2019,2019,
Ariana Grande - 7 rings (Official Video),ArianaGrandeVevo,1009854739,"1,31,69,399","5,54,101","7,14,030",18-01-2019,2019,
Future - Life is good (Official Music Video) ft Drake,Future,1936695188,8900000,863000,229216,09-01-2020,2020,
BTS 'Dynamite' Official MV,HYBE LABELS,1173375949,2900000,160000,15625102,20-08-2020,2020,
52 Gaj Ka Daman,Desi Records,1071630202,5400000,100000,125907,01-10-2020,2020,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
